Order	Open time	Type	Lots	Symbol	Open price	StopLoss	TakeProfit	Close time	Close price	Profit in points	Balance in points	Comment	Magic
14201421	2009.04.28 16:01	sell	0.1	GBPJPY	141.82	142.11	0	2009.04.29 02:19	141.92	-10	508		5000
14213690	2009.04.29 03:16	sell	0.1	EURJPY	127.58	128	0	2009.04.29 10:57	127.98	-40	468		3000
14219466	2009.04.29 10:45	buy	0.1	USDCHF	1.1396	0	0	2009.04.29 12:42	1.1358	-38	430		6001
14220077	2009.04.29 11:01	sell	0.1	EURUSD	1.3226	0	0	2009.04.29 17:19	1.3281	-55	375		1000
14235013	2009.04.29 20:17	sell	0.1	USDJPY	97.15	0	0	2009.04.29 20:19	97.32	-17	358		4001
14236550	2009.04.29 20:40	sell	0.1	EURUSD	1.3295	0	0	2009.04.30 08:43	1.3348	-53	305		0
14237145	2009.04.29 20:59	sell	0.1	USDCHF	1.1351	1.1382	0	2009.04.29 21:48	1.1382	-31	274	[sl]	0
14256918	2009.04.30 14:59	sell	0.1	EURJPY	130.21	130.88	129.3	2009.04.30 17:17	130.88	-67	207	[sl]	0
14257050	2009.04.30 15:02	sell	0.1	EURUSD	1.3234	0	0	2009.05.01 08:31	1.3282	-48	159		0
14270937	2009.05.01 08:31	sell	0.1	EURCHF	1.5118	0	0	2009.05.04 09:41	1.5116	2	161		2000
14292536	2009.05.04 10:32	sell	0.1	EURCHF	1.5096	0	0	2009.05.05 00:16	1.511	-14	147		0
14353644	2009.05.06 13:15	sell	0.1	USDCHF	1.1359	1.1359	0	2009.05.06 16:06	1.1359	0	147	[sl]	6000
14376046	2009.05.07 08:20	buy	0.1	EURUSD	1.3268	0	0	2009.05.07 16:12	1.341	142	289		1000
14378981	2009.05.07 10:02	sell	0.1	EURCHF	1.5124	0	0	2009.05.07 10:56	1.514	-16	273		2000
14384866	2009.05.07 13:08	sell	0.1	GBPUSD	1.5053	0	0	2009.05.07 13:50	1.5094	-41	232		0
14476417	2009.05.12 16:07	buy	0.1	EURJPY	131.78	0	0	2009.05.12 18:14	131.38	-40	192		3000
14476424	2009.05.12 16:07	buy	0.1	EURJPY	131.78	0	0	2009.05.12 18:14	131.38	-40	152		3000
14485164	2009.05.12 21:39	sell	0.1	EURJPY	131.64	131.85	0	2009.05.13 02:22	131.85	-21	131	[sl]	0
14520892	2009.05.14 02:43	buy	0.1	EURUSD	1.3563	1.352	0	2009.05.14 08:16	1.356	-3	128		1000
14523059	2009.05.14 08:31	buy	0.1	EURUSD	1.3576	1.3523	0	2009.05.15 13:59	1.3523	-53	75	[sl]	10000
14535447	2009.05.14 15:36	sell	0.1	EURJPY	130.27	0	0	2009.05.14 20:30	130.53	-26	49		3000
14570355	2009.05.15 19:52	sell	0.1	USDCHF	1.1233	0	0	2009.05.18 01:37	1.1255	-22	27		6000
14574804	2009.05.18 00:08	sell	0.1	USDCHF	1.1228	0	0	2009.05.18 01:37	1.1255	-27	-0		6000
14599806	2009.05.18 20:49	sell	0.1	USDCHF	1.1161	1.106	0	2009.05.22 21:16	1.0843	318	318		0
14599992	2009.05.18 20:58	buy	0.1	CHFJPY	86.43	0	0	2009.05.20 09:34	86.41	-2	316		0
14601600	2009.05.18 22:05	sell	0.1	EURUSD	1.3549	0	0	2009.05.19 08:38	1.3584	-35	281		0
14614852	2009.05.19 12:49	sell	0.1	EURCHF	1.5159	1.5159	1.504	2009.05.20 17:50	1.5159	0	281	[sl]	0
14687371	2009.05.21 15:27	buy	0.1	EURUSD	1.3755	1.3722	0	2009.05.22 21:15	1.4013	258	539		0
14774599	2009.05.25 15:46	sell	0.1	EURUSD	1.3988	1.4	0	2009.05.25 15:51	1.3994	-6	533		0
14774709	2009.05.25 15:51	buy	0.1	EURUSD	1.3994	1.3982	0	2009.05.26 02:57	1.3982	-12	521	[sl]	0
14775009	2009.05.25 16:04	buy	0.1	EURCHF	1.5181	1.5157	0	2009.05.26 08:48	1.5157	-24	497	[sl]	0
14775022	2009.05.25 16:05	sell	0.1	EURJPY	133.09	133.09	129.35	2009.05.26 16:00	132.25	84	581		0
14775194	2009.05.25 16:12	buy	0.1	USDCHF	1.0849	1.0807	0	2009.05.25 17:37	1.0832	-17	564		0
14789988	2009.05.26 07:47	sell	0.1	EURUSD	1.3982	1.3982	0	2009.05.26 16:00	1.3951	31	595		0
14793172	2009.05.26 08:59	buy	0.1	USDCHF	1.0881	1.081	0	2009.05.26 16:00	1.0851	-30	565		0
14835294	2009.05.26 21:33	buy	0.1	EURGBP	0.8782	0.8752	0	2009.05.26 21:36	0.8779	-3	562		0
14835503	2009.05.26 21:41	sell	0.1	EURUSD	1.3988	1.4005	0	2009.05.27 15:27	1.3987	1	563		0
14835598	2009.05.26 21:44	sell	0.1	EURCHF	1.5163	1.5172	0	2009.05.26 23:17	1.5172	-9	554	[sl]	0
14835697	2009.05.26 21:51	buy	0.1	USDJPY	94.94	94.65	0	2009.05.27 15:23	94.83	-11	543		0
14835748	2009.05.26 21:55	sell	0.1	GBPJPY	151.21	151.65	0	2009.05.27 01:05	151.65	-44	499	[sl]	0
14836203	2009.05.26 22:32	sell	0.1	GBPUSD	1.5922	1.597	0	2009.05.27 01:24	1.597	-48	451	[sl]	0
14871049	2009.05.27 15:44	sell	0.1	EURUSD	1.3957	1.3855	0	2009.05.28 09:33	1.3855	102	553	[sl]	0
14892175	2009.05.27 21:26	buy	0.1	USDJPY	95.18	96.6	0	2009.05.28 09:48	96.6	142	695	[sl]	0
14892515	2009.05.27 21:34	buy	0.1	CHFJPY	87.47	87.1	88.6	2009.05.27 23:38	87.1	-37	658	[sl]	0
15015220	2009.06.01 23:23	buy	0.1	EURUSD	1.4166	1.4139	1.422	2009.06.02 02:32	1.4139	-27	631	[sl]	0
15086064	2009.06.03 22:00	buy	0.1	EURUSD	1.4153	1.4195	0	2009.06.04 11:53	1.4195	42	673	[sl]	0
15086672	2009.06.03 22:27	buy	0.1	GBPJPY	156.51	155.6	0	2009.06.04 12:38	157.84	133	806		0
15086722	2009.06.03 22:30	sell	0.1	USDCHF	1.0703	1.0703	0	2009.06.04 13:11	1.0703	0	806	[sl]	0
15086797	2009.06.03 22:34	buy	0.1	GBPUSD	1.6301	1.6235	0	2009.06.04 06:36	1.6235	-66	740	[sl]	0
15086873	2009.06.03 22:37	buy	0.1	CHFJPY	89.72	89.3	0	2009.06.04 12:39	90.28	56	796		0
15088979	2009.06.04 03:11	sell	0.1	USDJPY	96.28	96.5	0	2009.06.04 11:00	96.5	-22	774	[sl]	4000
15090931	2009.06.04 08:06	sell	0.1	EURGBP	0.872	0.874	0	2009.06.04 14:01	0.874	-20	754	[sl]	0
15117533	2009.06.04 20:57	sell	0.1	EURUSD	1.4177	1.4214	1.4075	2009.06.05 03:24	1.4214	-37	717	[sl]	0
15157466	2009.06.08 10:43	buy	0.1	EURJPY	136.3	0	0	2009.06.08 11:39	136.07	-23	694		3000
15176280	2009.06.08 21:07	sell	0.1	GBPJPY	157.84	158.15	0	2009.06.08 21:19	158.15	-31	663	[sl]	0
15176599	2009.06.08 21:21	sell	0.1	EURUSD	1.3895	1.3925	0	2009.06.08 21:35	1.3925	-30	633	[sl]	0
15177920	2009.06.08 22:01	sell	0.1	EURJPY	136.8	137.11	0	2009.06.09 01:10	137.11	-31	602	[sl]	0
15178173	2009.06.08 22:14	buy	0.1	CHFJPY	90.35	89.9	0	2009.06.09 04:25	89.9	-45	557	[sl]	0
15207494	2009.06.09 21:29	sell	0.1	EURUSD	1.4073	1.41	0	2009.06.10 07:12	1.41	-27	530	[sl]	0
